table_name,source_row_number,reason_code,reason_detail,payload,run_id
db_rotas,745,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 753, ""uf"": ""PR"", ""nome"": ""CVL01-Cascavel-PR#"", ""rota"": ""ROTA 210-MATO GROSSO-MT 02"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 745}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,752,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 760, ""uf"": ""ES"", ""nome"": ""VIT04-MalCampos-ES"", ""rota"": ""ROTA 210-MATO GROSSO-MT 02"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 752}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,755,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 763, ""uf"": ""CE"", ""nome"": ""CND01-Caninde-CE#"", ""rota"": ""ROTA 008-RIO GRANDE DO NORTE 2"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 755}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,761,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 769, ""uf"": ""SP"", ""nome"": ""SPA29-VilaLeopold-SP"", ""rota"": ""ROTA 206- TOCANTINS-TO"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 761}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,764,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 772, ""uf"": ""GO"", ""nome"": ""APG02-Independ\u00eancia"", ""rota"": ""ROTA 218"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 764}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,766,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 774, ""uf"": ""GO"", ""nome"": ""GOI17-Jar Planalto 2"", ""rota"": ""ROTA 218"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 766}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,776,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 784, ""uf"": ""RS"", ""nome"": ""POA09-LuOliveira-RS#"", ""rota"": ""ROTA 213-DISTRITO FEDERAL-DF"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 776}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,813,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 821, ""uf"": ""PR"", ""nome"": ""TOL01-Toledo-PR#"", ""rota"": ""ROTA 210-MATO GROSSO-MT 02"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 813}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,814,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 822, ""uf"": ""CE"", ""nome"": ""CMC01-Camocim-CE"", ""rota"": ""ROTA 008-RIO GRANDE DO NORTE 2"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 814}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,836,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 844, ""uf"": ""PA"", ""nome"": ""BEL12-Guama-PA"", ""rota"": ""ROTA 005-NOTURNO D+0"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 836}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
